text,is_phishing,example_what_would_non_legitimate_email_look_like
"From: joan.martinez@company.com
To: alex.johnson@gmail.com
Subject: Project status update
Hi Alex,
I wanted to provide a quick update on the project we're working on. We've made some great progress and everything is on track for the deadline next month. Let me know if you have any questions.
Best regards,
Joan",0,"From: joan.martinez@company.com
To: alex.johnson@gmail.com
Subject: Important update to the project
Dear Alex,
We have encountered some unexpected challenges that require your immediate attention. Please respond urgently so that we can proceed with the project as planned.
Sincerely,
Joan"

"From: joshua.diaz@company.com
To: emily.chen@yahoo.com
Subject: Invitation to our company's charity event
Dear Emily,
I hope this email finds you well. I wanted to personally invite you to our company's charity event next week. It's for a great cause and I think you would enjoy it. Please let me know if you're interested in attending.
Best regards,
Joshua",0,"From: joshua.diaz@company.com
To: emily.chen@yahoo.com
Subject: Claim your free prize now!
Dear Emily,
You've been selected to receive a special prize from our company. All you have to do is click the link below to claim it. Don't miss out on this incredible opportunity!
Best regards,
Joshua"

"From: maria.gonzalez@company.com
To: robert.wilson@hotmail.com
Subject: Meeting follow-up
Hi Robert,
I just wanted to follow up on the meeting we had last week. We discussed several important topics and I wanted to make sure we're on the same page. Please let me know if you have any questions or concerns.
Best regards,
Maria",0,"From: maria.gonzalez@company.com
To: robert.wilson@hotmail.com
Subject: Urgent: Meeting rescheduled
Robert,
There's been a change of plans and we need to reschedule our meeting for today. Please reply with your availability as soon as possible.
Thanks,
Maria"

"From: david.hernandez@company.com
To: eric.nguyen@gmail.com
Subject: New product launch
Hi Eric,
I hope this email finds you well. I wanted to share some exciting news with you. Our company is launching a new product next month and I think you'll really like it. Let me know if you're interested in learning more.
Best regards,
David",0,"From: david.hernandez@company.com
To: eric.nguyen@gmail.com
Subject: Your account has been compromised
Eric,
We've detected some suspicious activity on your account and need you to verify your information immediately. Failure to do so may result in the suspension of your account.
Sincerely,
David"

"From: daniel.garcia@company.com
To: julie.wang@yahoo.com
Subject: Company announcement
Hi Julie,
I wanted to share some exciting news with you. Our company has just announced a new partnership that I think will benefit everyone. Please let me know if you have any questions or concerns.
Best regards,
Daniel",0,"From: daniel.garcia@company.com
To: julie.wang@yahoo.com
Subject: Urgent: Account locked
Julie,
Your account has been locked due to suspicious activity. Please click the link below to unlock it"

"From: john.doe@example.com
To: jane.smith@example.com
Subject: Reminder: Meeting tomorrow at 2pm
Hi Jane,

Just a quick reminder that we have a meeting scheduled for tomorrow at 2pm in Conference Room A. Please let me know if you are unable to attend.

Best regards
John","0","From: john.doe@gmail.com
To: jane.smith@example.com
Subject: Meeting tomorrow at 2pm
Hey Jane,

I need your help on something. Can you please send me your login credentials to the system ASAP? There's some work I need to finish before our meeting tomorrow at 2pm.

Thanks,
John"
"From: sarah.jones@example.com
To: info@example.com
Subject: Inquiry about product
Hello,

I am interested in learning more about your new product line. Can you please send me additional information?

Thank you,
Sarah Jones","0","From: sarah.jones@hotmail.com
To: info@example.com
Subject: RE: Inquiry about product
Hi there,

I'd be happy to provide you with some information about our products. But first, can you please send me your credit card information for verification purposes?

Best,
Sarah"
"From: support@example.com
To: customer@example.com
Subject: Issue with your account
Dear Customer,

We are writing to inform you that there has been an issue with your account. Please log in to your account to review and update your information.

Thank you,
Support Team","0","From: support@alert.com
To: customer@example.com
Subject: Urgent: Account Security Alert
Dear Customer,

We have detected suspicious activity on your account. Please click on the following link to update your information and secure your account: [malicious link]

Sincerely,
Support Team"
"From: news@example.com
To: subscribers@example.com
Subject: Weekly Newsletter
Dear Subscriber,

We hope this email finds you well. Attached please find our latest newsletter for your reading pleasure.

Best,
News Team","0","From: news@marketing.com
To: subscribers@example.com
Subject: Exclusive Offer for Subscribers!
Hey Subscriber,

We have a special offer just for you! Click on the following link to claim your exclusive discount: [malicious link]

Thanks,
Marketing Team"
"From: bank@example.com
To: customer@example.com
Subject: Account Statement
Dear Customer,

Please find attached your account statement for the month of March.

Thank you,
Bank","0","From: bank@security.com
To: customer@example.com
Subject: Account Security Alert
Dear Customer,

We have detected unauthorized access to your account. Please click on the following link to update your information and secure your account: [malicious link]

Sincerely,
Bank Security Team"
"From: jane.doe@example.com
To: john.smith@example.com
Subject: Follow up on our meeting
Hi John,

Thank you for meeting with me yesterday. I wanted to follow up on a few things we discussed. Please let me know if you have any questions.

Best regards,
Jane","0","From: jane.doe@gmail.com
To: john.smith@example.com
Subject: Meeting Follow Up
Hey John,

Great meeting yesterday! I just wanted to confirm that you're still on board with the plan we discussed. Also, can you please send me your login credentials so we can move forward?

Thanks,
Jane"
