text,is_phishing
"Subject: URGENT REQUEST

Are you available ?
No calls text only 9513072XXX

1/9/20
Chancellor
Berkeley University of California
 cchristberkeley.edu@gmail.com

NB",1
"Subject: Quick question

I'm in a meeting and need help getting some Amazon Gift Cards

1/9/20
University of California, Berkeley
XXX.subdomain.berkeley.edu

NB",1
"Subject: ******Part time home work assistant needed******

Hello RECIPIENT

I am urgently seeking for a Clerical/Administrative Assistant to
work for me on campus at their own free time while I am away on my work and
earn basic wage $250 weekly.This is a flexible job that requires little to
no prior experience .Let me know you are interested and I will fill you in.

10/19/19
*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*
dvdmson @ gmail . Com

NB",1
"Subject: � vendor payment

Are you around? I need to pay a vendor with the blucard.

12/27/18
 
University of California, Berkeley
��XXX.subdomain.berkeley.edu@gmail.com

NB",1
"Subject:   Quick question

I'm in a meeting and need help getting some Amazon Gift Cards

12/27/18
 
University of California, Berkeley
XXX.subdomain.berkeley.edu

",1
"Subject: �XXX has shared a document on Google Docs with you

XXX has invited you to view the following document:

5/3/2017


�XXX@berkeley.edu

BCC",1
"Subject: Message from human resources

Dear XXXXX@berkeley.edu(link sends e-mail)

An information document has been sent to you by the Human Resources Department.

Click here to Login to view the document.  Thank you!

4/13/17
Berkeley University Of California HR Department
� 2017 The Regents of the University of California.  All rights reserved.
HR@berkeley.edu

NB",1
"Subject: Library Account

Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.

4/1/17
University Library
University of California Berkeley


NB",1
"Subject: Your Dropbox File

Hello,

You just received a file through Dropbox Share Application.
Please click below and log in to view file.

View file

Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space

1/30/17
The Dropbox Team
sass@tamhsc.edu(link sends e-mail)

B",1
"Subject: 

Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.

1/25/17
Berkeley Security
University of California, Berkeley
510-643-6957
dapatel@berkeley.edu

B",1
"Subject: Update Portal

The Human Resources/Payroll Department has completed the final paystub
changes for 2017 tax year.
To view the changes to your paystub information and view/download your W-2
forms (2014 - 2016 tax years), go to: Adp Portal

We hope you find the changes to your paystub information useful and welcome
any comments you may have.

24 Jan 2017�

director.stics@boyaca.gov.co

NB",1
"Subject: FedEx Shipment Update

Dear Customer,

We could not deliver your item.

You can review and print complete details of shipping duty on your order.

Thanks

1/3/17

xxxxxx@berkeley.edu

B",1
"Subject: �Important Announcement from Chancellor Nicholas B. Dirks

Good Morning Berkeley Family,

Please read attached for an important announcement from Chancellor Nicholas B. Dirks

12/14/16


Chancellor
penweltm@miamioh.edu

B",1
"Subject: Email Account Upgrade

Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location:Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.

�10/28/2016�
Technical Support Team
�itcsshelp@berkeley.edu

B",1
"Subject: Irregular Activity

From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright � 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html


10/20/16
Copyright � 2016 BankOfAmerica, All rights reserve


B",1
"Subject: Messages containing Locky malware

Hello,

Please sign the attached contract with our technical service company for 2016 � 2017.
We would appreciate your quick response.

24 Aug 2016�
(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95)
�Curtis.8271@brasiltelecom.net.br

B",1
"Subject: Messages containing Locky malware

Hi,

The monthly financial statement is attached within the email.
Please review it before processing.

8/24/16
(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5)
�Curtis.8271@brasiltelecom.net.br

B",1
"Subject: Vital Info

Hello,� Please refer to the vital info I've shared with you using Google Drive.� Click�https://www.google.com/drive/docs/file0116�and sign in to view details..

May 23, 2016�
Readmission Representative
Office of the Registrar


B",1
"Subject: bCourses Phish Attack

Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.

5/20/16
Berkeley Security
University of California, Berkeley
510-643-6927
mpatel@berkeley.edu

B",1
"Subject: Your account has been Iimited untiI we hear from you

your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.

3/22/16

Acces@up.com

NB",1
"Subject: RE: Notice from @rescue.org

Hello Everyone,

  There will be additional IT maintenance today between 10am � 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.

3/14/2016�

Ashley.Mathew@rescue.org

NB",1
"Subject: Last Reminder You Must Update Your Apple Account Information!

Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support

3/13/16

Appel@support.com

NB",1
"Subject: Help Desk��� Notice.

We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account.
���
Help Desk���

3/4/16
Help Desk���
jjdoe@capousd.org

NB",1
"Subject: Google Docs Download

You have a pending incoming download docs shared with you via Google docs

2/22/2016�

Google@Googledocss.com

BN",1
"Subject: 2015 W-2 statement

I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.

Feb 22, 2016�

President@ucop.edu

B",1
"Subject: Your access has been disabled

Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.

2/21/16

no_reply@appsupport.com

NB",1
"Subject: Dear Email User

Your password will expire in 2 days, Click Here
to re-change your password immediately.

2/9/16

IT- Help Desk
jdoe@seedschoolmd.org

NB",1
"Subject: Help Desk / Password Update

Password will expire in 2 days �Click Here�To Validate E-mail

2/2/16
IT-Service Help Desk
John.doe@medford.k12.or.us

NB",1
