step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,225,1,0.09560408566919379,0.0,0.0,0.22059687430830677,0.0,0.0,,,,,,
2,418,2,0.10332500720466971,0.0,0.0,,,,,,,,,
3,627,3,0.07402623788887329,0.0,0.0,,,,,,,,,
4,1820,4,0.021660468782348674,0.0,0.0,,,,,,,,,
5,2173,5,0.04122641935368929,0.0,0.0,,,,,,,,,
6,2214,6,0.15135356847569348,0.0,0.0,,,,,,,,,
7,2287,7,0.07866607735554378,1.0,1.0,,,,,,,,,
8,2448,8,0.04608270996483043,1.0,1.0,,,,,,,,,
9,3097,9,0.027749300062997792,1.0,1.0,0.03317832597261641,1.0,1.0,,,,,,
10,3306,10,0.04010043985035736,1.0,1.0,,,,,,,,,
11,3459,11,0.044261128559071376,1.0,1.0,,,,,,,,,
12,3644,12,0.045673522965175226,1.0,1.0,,,,,,,,,
13,3749,13,0.09207097186238503,0.0,0.0,,,,,,,,,
14,4046,14,0.0433891087076729,0.0,0.0,,,,,,,,,
15,4167,15,0.04294921401996787,0.0,0.0,,,,,,,,,
16,4568,16,0.040651053868072634,0.0,0.0,,,,,,,,,
17,4809,17,0.04539238191137943,0.0,0.0,0.03648068107126164,1.0,1.0,,,,,,
18,4890,18,0.04703531112568453,1.0,1.0,,,,,,,,,
19,4939,19,0.04023832146107452,1.0,1.0,,,,,,,,,
20,5084,20,0.0399161573072585,1.0,1.0,,,,,,,,,
21,5197,21,0.03280086767776603,1.0,1.0,,,,,,,,,
22,5214,22,0.25186692213639617,0.0,0.0,,,,,,,,,
23,5511,23,0.038319273511202685,0.0,0.0,,,,,,,,,
24,5664,24,0.047011507894957935,0.0,0.0,,,,,,,,,
25,5841,25,0.03920184329586019,1.0,1.0,0.04376282593987596,1.0,1.0,,,,,,
26,6178,26,0.0347402684034508,1.0,1.0,,,,,,,,,
27,6451,27,0.03782264955717598,1.0,1.0,,,,,,,,,
28,6604,28,0.0429153707295068,0.0,0.0,,,,,,,,,
29,6685,29,0.0444042183291167,1.0,1.0,,,,,,,,,
30,6734,30,0.05263004116714,1.0,1.0,,,,,,,,,
31,7247,31,0.02663051896357047,1.0,1.0,,,,,,,,,
32,7456,32,0.036510584254602484,1.0,1.0,,,,,,,,,
33,7681,33,0.0441086624428239,0.0,0.0,0.035927637297787106,1.0,1.0,,,,,,
34,7802,34,0.05588429138922947,0.0,0.0,,,,,,,,,
35,8019,35,0.04918894079974658,0.0,0.0,,,,,,,,,
36,8100,36,0.04439983707224019,0.0,0.0,,,,,,,,,
37,8469,37,0.035578569658948414,1.0,1.0,,,,,,,,,
38,8502,38,0.049423645231872794,1.0,1.0,,,,,,,,,
39,8759,39,0.03465932496976166,1.0,1.0,,,,,,,,,
40,8904,40,0.03997276528576751,1.0,1.0,,,,,,,,,
41,8945,41,0.04762405501957983,1.0,1.0,0.03882956269400893,1.0,1.0,,,,,,
42,9298,42,0.03831393886591699,0.0,0.0,,,,,,,,,
43,9915,43,0.033041076015281515,1.0,1.0,,,,,,,,,
44,10116,44,0.03595825224253349,1.0,1.0,,,,,,,,,
45,10621,45,0.042297319403686924,0.0,0.0,,,,,,,,,
46,10814,46,0.02676788978703068,1.0,1.0,,,,,,,,,
47,10943,47,0.07312958329584944,0.0,0.0,,,,,,,,,
48,11288,48,0.0353114850322586,1.0,1.0,,,,,,,,,
49,11353,49,0.0326854025258217,1.0,1.0,0.041013033264839405,0.0,0.0,,,,,,
50,11554,50,0.03649477503442904,1.0,1.0,,,,,,,,,
51,11779,51,0.03266156185316894,1.0,1.0,,,,,,,,,
52,11908,52,0.03176648980794198,1.0,1.0,,,,,,,,,
53,11981,53,0.048322690578901935,0.0,0.0,,,,,,,,,
54,12078,54,0.043539551447902336,1.0,1.0,,,,,,,,,
