,text,is_phishing
4046,"Subject: duke energy field 8 / 00
please change the demand fee on deal 157288 for 8 / 00 from $ 9 , 575 . 45 to
$ 6 , 143 . 64 . we need to reduce our payment to duke . when i adjusted the over
delivery charge on the days we didn ' t nom , the demand amount changed . i
waited until duke agreed before i sent you this change .
thanks ,
megan",0
3504,"Subject: re : prelminary findings on deals not bridging
matt pena
11 / 15 / 2000 12 : 09 pm
to : robert superty / hou / ect @ ect
cc : edward terry / hou / ect @ ect , victor lamadrid / hou / ect @ ect , pat
clynes / corp / enron @ enron , donna greif / hou / ect @ ect , richard pinion / hou / ect @ ect ,
patti sullivan / hou / ect @ ect , george smith / hou / ect @ ect , randall l
gay / hou / ect @ ect , tricia spence / hou / ect @ ect , carlos j rodriguez / hou / ect @ ect ,
tom acton / corp / enron @ enron
subject : prelminary findings on deals not bridging
i ' ve attached a spreadsheet showing deals that were not bridged to unify for
november . please don ' t let this alarm you , this is how the bridge has always
worked . if you have questions or would like to discuss , please let me know .
every instance i ' ve found looks okay because of the following :
* a transport ut ticket on the same pipe was the deal
* the deal was killed
* the deal was entered as a mistake buy and should of been a sell hence the
inactive state in unify
* the deal was a demand based deal price with no volumes
* the deal didn ' t have a point assigned to it , only a zone
thanks",0
5120,"Subject: re : meter 5848
vance ,
what is the price and volume that should be entered for october ? apparently ,
engage changed their name to coastal was the reason the deal ticket was
created that way .
bob
vance l taylor
10 / 11 / 2000 02 : 47 pm
to : robert cotten / hou / ect @ ect
cc : pat clynes / corp / enron @ enron , daren j farmer / hou / ect @ ect , aimee
lannou / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : re : meter 5848
bob ,
you are correct , i did request a ticket at meter 5848 as a spot purchase .
however , i ' m not sure why the ticket was created in the name of coastal ; it
should have been in the name engage energy us , lp . as for october , hplc is
buying this package of gas on a "" spot "" basis and a ticket should be created
and entered in to sitara .
thanks ,
vlt
x 3 - 6353
enron north america corp .
from : robert cotten 10 / 11 / 2000 11 : 12 am
to : vance l taylor / hou / ect @ ect
cc : pat clynes / corp / enron @ enron , daren j farmer / hou / ect @ ect , aimee
lannou / hou / ect @ ect
subject : meter 5848
vance ,
on august 28 , you sent a request to enter a spot ticket for september
production on engage energy , meter # 5848 , 240 mmbtu / d . the ticket was
entered as a purchase from coastal merchant energy , l . p . a volume of 304
mmbtu flowed on meter # 5848 on 10 / 1 / 00 . should there be a spot purchase at
meter # 5848 in october ? please advise . thanks .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 10 / 11 / 2000 10 : 45
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
aimee lannou 10 / 11 / 2000 10 : 02 am
to : robert cotten / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , pat clynes / corp / enron @ enron
subject : meter 5848
bob - there is flow at meter 5848 for 10 / 1 . in sept . it was on a gathering
contract on deal # 382621 for coastal merchant energy . could you please
check to see if there should be a deal for october ?
thanks .
aimee",0
102,"Hello,
Due to ongoing Lehigh University anti-phishing server
upgrade, please kindly follow this link to upgrade/secure your
webmail to avoid service suspension on Tuesday, April 21, 2015
(EDT).
© 2015 Lehigh University, 27 Memorial Drive West, Bethlehem,
Pa. 18015",1
3321,"Subject: eastrans nomination change effective 5 / 9 / 01
please increase deliveries into eastrans from hpl to 20 , 000 mmbtu / dy
effective 5 / 9 / 01 .
the redeliveries will be 17 , 000 mmbtu / dy from fuels cotton valley and 3 , 000
mmbtu / dy into pg & e at carthage tailgate .
also note : on 5 / 9 / 01 , actual deliveries from fuels cotton valley into hpl
will be larger than the nomination of 17 , 000 mmbtu / dy . this is occuring
because the other outlet from fuels cotton valley is down for maintenance .
on 5 / 10 / 01 , actual deliveries will be less than the nomination of 17 , 000
mmbtu / dy in order to balance the nomination versus deliveries from 5 / 9 / 01 .
no over - delivery or under - delivery charges per the transaction agreement
will apply during this two - day period .",0
2982,"Subject: jan ' 01
daren - there is flow at meter 1386 for jan 1 - 3 . the average flow is
828 / day . the last deal associated with this meter is 150325 , dec . 1 - 4 ,
2000 . the counterparty is hampshire . could you please look at this and let
me know if you put a deal in for these days ?
thanks .
al",0
5079,"Subject: re : copano p / l 01 / 00 - s 93481
cynthia / daren :
kim vaughn has taken over all of kathy ' s meters . i will look at this issue
with kim since she is "" new "" .
fred
from : cynthia hakemack 01 / 08 / 2001 04 : 00 pm
to : fred boas / hou / ect @ ect
cc : charles howard / na / enron @ enron , charlene richmond / hou / ect @ ect
subject : re : copano p / l 01 / 00 - s 93481
fred , can you help with this since kathy isn ' t here anymore ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by cynthia hakemack / hou / ect on 01 / 08 / 2001
03 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
01 / 08 / 2001 03 : 54 pm
to : cynthia hakemack / hou / ect @ ect
cc :
subject : re : copano p / l 01 / 00 - s 93481
this is a call out meter . i think the best person to help you would be kathy
benedict in volume management .
d
from : cynthia hakemack 01 / 08 / 2001 03 : 43 pm
to : daren j farmer / hou / ect @ ect
cc : charles howard / na / enron @ enron , charlene richmond / hou / ect @ ect
subject : copano p / l 01 / 00 - s 93481
daren , i ' m looking at s 93481 for 01 / 00 . 3 , 461 mmbtu was scheduled to copano
p / l in 02 / 00 and the counterparty was paid . in 05 / 00 the volumes were
reversed from this deal . would you be able to tell why they were reversed ?
i ' m trying to determine if this is a valid recoverable item . thanks .",0
3960,"Subject: shrugging
cormier , }
_ 95 % 0 ff for
all - v _ i - a - g _ r a ; *
c - i a - - l - is , #
l - e vi _ _ tra . #
satire , ] and explained that , impudent , cracked voice responded ,
wile , seen quite distinctly , parboil , next there stood .
tor , and even tittered , beastie , now they could ,
suzerainty , authority is violence , kitchenette , at once from .
",0
3358,"Subject: 98 - 9794 ( saxet thompsonville ) receiving under nom
tom ,
can you please seek daren ' s advise on nom adjust at the aforementioned meter
due to this meter receiving 19 mmbtu ' s on a 28 nom ?
daren , there are two sitara deal numbers associated w / this receipt meter
( both gathering ) 154608 and 138572 . 138572 is wellhead gas .
thanks
- jackie -",0
62,"Dear Lehigh University Webmail User,
An Attempt has been made to login from another computer. For the security of your account, Kindly
CLICK HERE
Do not ignore this message to avoid termination of your webmail account.
Thank you.
The Lehigh University Webmail Management Team.",1
3083,"Subject: 
do you want a rolex watch ?
",0
